Date,Details,Debit,Credit,Balance
12/08/2018,10AUG TWO BEANS,5.9,,7523.25
12/08/2018,11AUG Just Eat,14.1,,
12/08/2018,12AUG LEAP CARD APP,5,,
12/08/2018,12AUG ATM WITHDRAWAL,20,,
12/08/2018,12AUG PENNEYS MARY S,13.4,,
12/08/2018,11AUG ATM WITHDRAWAL,20,,
09/08/2018,POS07AUG Just Eat,22.5,,7601.65
09/08/2018,POS07AUG AMZN Mktp UK,86.15,,
08/08/2018,POS03AUG VESTA  *VODA,20,,7710.3
08/08/2018,POS03AUG TESCO STORES,11.44,,
08/08/2018,POS04AUG GAMESTOP DUN,73.97,,
08/08/2018,POS04AUG IRISH MULTIP,21.5,,
07/08/2018,ATMD 04AUG UBLES23545,20,,7837.21
07/08/2018,ATMD 05AUG UBLES23545,20,,
07/08/2018,ATMD 06AUG UBLES23545,20,,
02/08/2018,POS31JUL AMZN Mktp UK,,34.24,7897.21
31/07/2018,POS29JUL GOORDERFOOD,24.5,,7862.97
30/07/2018,ATMD 27JUL UBLES23545,20,,7887.47
27/07/2018,Rockall salaries M GP,,1998.15,7907.47
24/07/2018,POS20JUL AMAZON.UK PA,34.24,,5909.32
24/07/2018,POS22JUL SAVOY CINEMA,19.5,,
23/07/2018,ATMD 22JUL BOI 900113,20,,5963.06
19/07/2018,ATMD 18JUL UBLES23545,20,,5983.06
17/07/2018,POS14JUL LEAP CARD AP,5,,6003.06
17/07/2018,POS15JUL LEAP CARD AP,5,,
17/07/2018,POS15JUL PENNEYS MARY,39.3,,
16/07/2018,ATMD 14JUL BOI 901116,20,,6052.36
09/07/2018,POS05JUL LEAP CARD AP,5,,6072.36
09/07/2018,ATMD 08JUL BOI 901116,20,,
06/07/2018,POS03JUL PAYPAL *STEA,6.74,,6097.36
06/07/2018,POS04JUL LEAP CARD AP,5,,
04/07/2018,POS02JUL PAYPAL *STEA,14.99,,6109.1
03/07/2018,POS01JUL VESTA  *VODA,20,,6124.09
26/06/2018,POS21JUN PAYPAL *STEA,11.99,,6144.09
15/06/2018,POS13JUN LEAP CARD AP,5,,6156.08
12/06/2018,POS10JUN LEAP CARD AP,5,,6161.08
11/06/2018,ATMD 10JUN UBLUS02353,20,,6166.08
06/06/2018,ATMD 06JUN BOI 901116,20,,6186.08
31/05/2018,ATM29MAY D949AIB,20,,6206.08
30/05/2018,POS28MAY LEAP CARD AP,5,,6226.08
30/05/2018,ATM27MAY D03CAIB,20,,
29/05/2018,POS25MAY LEAP CARD AP,5,,6251.08
29/05/2018,POS26MAY LEAP CARD AP,5,,
29/05/2018,POS27MAY LEAP CARD AP,5,,
